date,time,x-edge-location,sc-bytes,c-ip,cs-method,cs\(Host),cs-uri-stem,sc-status,cs\(Referer),cs\(User-Agent),cs-uri-query,cs\(Cookie),x-edge-result-type,x-edge-request-id,x-host-header,cs-protocol,cs-bytes,time-taken,x-forwarded-for,ssl-protocol,ssl-cipher,x-edge-response-result-type,cs-protocol-version,fle-status,fle-encrypted-fields,c-port,time-to-first-byte,x-edge-detailed-result-type,sc-content-type,sc-content-len,sc-range-start,sc-range-end
2026-05-29,05:49:20,BOM78-P11,335,65.2.153.54,GET,d2rai8dpod7e2h.cloudfront.net,/status.html,404,-,Java/17.0.18,-,-,Error,lTwkDCfJqnLvf8YmxHZ8trpypc-yut_57SCLgO1C9ZHbwkGOOvIXMg\=\=,awshealthcheck.d2rai8dpod7e2h.amplifyapp.com,https,185,0.015,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,46264,0.015,Error,-,0,-,-
2026-05-29,05:49:30,SFO53-P9,334,64.89.160.19,GET,d2rai8dpod7e2h.cloudfront.net,/,404,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,1TG9SeuzKVkmcpYZdaCjpb4hWjBNfSRX6o5feV-rIvg1LPLv3oTZNg\=\=,d2rai8dpod7e2h.amplifyapp.com,https,354,0.246,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,57014,0.246,Error,-,0,-,-
2026-05-29,05:49:31,SFO53-P9,334,64.89.160.19,GET,d2rai8dpod7e2h.cloudfront.net,/.env,404,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,XpNBuhPNcAPqvS_LXJQ0Tfjsr69V1pK1QtT37ezvsFtGnTSJTPwPIA\=\=,d2rai8dpod7e2h.amplifyapp.com,https,358,0.243,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,57014,0.243,Error,-,0,-,-
2026-05-29,05:49:31,SFO53-P9,334,64.89.160.19,GET,d2rai8dpod7e2h.cloudfront.net,/js/config.js,404,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,7eIWf9lAeMjp46kF8g7TUtTPNVdIKvDLUh2kSbhMKzNRnBDR1rIlUg\=\=,d2rai8dpod7e2h.amplifyapp.com,https,366,0.255,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,52760,0.255,Error,-,0,-,-
2026-05-29,05:49:32,SFO53-P9,334,64.89.160.19,GET,d2rai8dpod7e2h.cloudfront.net,/api/config,404,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,-3EayfZSq6fNDWBbyDTOKCvJGvAQiKRBdK1-5p5MfGlWUzpYRIOwRg\=\=,d2rai8dpod7e2h.amplifyapp.com,https,364,0.251,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,52784,0.251,Error,-,0,-,-
2026-05-29,05:49:30,SFO53-P9,334,64.89.160.19,GET,d2rai8dpod7e2h.cloudfront.net,/config.js,404,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,OfMYXfGBSJs9gxxSE7DGMAYyDVoGZ1YQKN2AA68dJR6_Qpk-pXdppA\=\=,d2rai8dpod7e2h.amplifyapp.com,https,363,0.243,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,36462,0.243,Error,-,0,-,-
2026-05-29,05:49:31,SFO53-P9,334,64.89.160.19,GET,d2rai8dpod7e2h.cloudfront.net,/.env.production,404,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,wvkCGnYVvwOj8K43gBMRrb1_zUnW04cICI1aQSLdyDQYrC9etTWqpQ\=\=,d2rai8dpod7e2h.amplifyapp.com,https,369,0.241,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,36462,0.241,Error,-,0,-,-
2026-05-29,05:49:33,SFO53-P9,334,64.89.160.19,GET,d2rai8dpod7e2h.cloudfront.net,/settings.js,404,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,7F282bbvJruvoOFTj6MRdoK7oDKkKVrOkPywJAuZcG2tcfUsjhbiYw\=\=,d2rai8dpod7e2h.amplifyapp.com,https,365,0.246,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,36320,0.246,Error,-,0,-,-
2026-05-29,05:49:32,SFO53-P9,334,64.89.160.19,GET,d2rai8dpod7e2h.cloudfront.net,/api/env,404,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,jFRKW39XY02IrjZoTKRGe0xdxZn1Fqf-ik6WUsa3uYJXYLsHpiXB-g\=\=,d2rai8dpod7e2h.amplifyapp.com,https,361,0.246,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,36462,0.246,Error,-,0,-,-
2026-05-29,05:49:33,SFO53-P9,334,64.89.160.19,GET,d2rai8dpod7e2h.cloudfront.net,/js/env.js,404,-,Mozilla/5.0%20\(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20\(KHTML%20like%20Gecko)%20Chrome/148.0.0.0%20Safari/537.36,-,-,Error,KE97YO3rc0EnaEwbHvQ7ywc_4kEM3xZcG2fWLqKQHLepw_XhNW2R3A\=\=,d2rai8dpod7e2h.amplifyapp.com,https,363,0.241,-,TLSv1.3,TLS_AES_128_GCM_SHA256,Error,HTTP/1.1,-,-,52780,0.241,Error,-,0,-,-
